			"IFERROR(INDEX('A00 VaN'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaN'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaN'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 VaR'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaR'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaR'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 EmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 EmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 EmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 HrA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 HrA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 HrA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 CmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 CmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 CmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 XR'!$C$5:$BS$45,MATCH($A4,'A00 XR'!$A$5:$A$45,0),MATCH($C4,'A00 XR'!$C$4:$BS$4,0)),"""")"	"IFERROR(INDEX('A00 CPI'!$C$5:$BS$45,MATCH($A4,'A00 CPI'!$A$5:$A$45,0),MATCH($C4,'A00 CPI'!$C$4:$BS$4,0)),"""")"
NOR	20	1980	"2,807"	"9,794"	15	24	"1,692"	0.202	31.174
NOR	20	1981	"2,401"	"9,568"	15	25	"1,893"	0.174	35.427
NOR	20	1982	"2,685"	"10,063"	15	24	"2,030"	0.155	39.444
NOR	20	1983	"3,150"	"10,870"	15	24	"2,165"	0.137	42.783
NOR	20	1984	"4,380"	"13,818"	14	24	"2,375"	0.123	45.444
NOR	20	1985	"4,581"	"13,231"	15	24	"2,600"	0.116	48.041
NOR	20	1986	"4,183"	"11,744"	15	24	"2,783"	0.135	51.489
NOR	20	1987	"5,771"	"16,110"	15	24	"3,087"	0.148	55.977
NOR	20	1988	"6,299"	"15,223"	14	23	"3,077"	0.153	59.714
NOR	20	1989	"6,157"	"14,538"	15	24	"3,399"	0.145	62.429
NOR	20	1990	"6,463"	"16,312"	14	23	"3,530"	0.160	65.008
NOR	20	1991	"6,217"	"14,974"	14	22	"3,663"	0.154	67.243
NOR	20	1992	"6,064"	"15,130"	14	22	"3,778"	0.161	68.808
NOR	20	1993	"7,494"	"16,385"	14	22	"3,883"	0.141	70.383
NOR	20	1994	"8,150"	"16,377"	14	22	"4,014"	0.142	71.351
NOR	20	1995	"9,097"	"15,231"	14	23	"4,336"	0.158	73.107
NOR	20	1996	"9,781"	"16,653"	13	22	"4,312"	0.155	74.029
NOR	20	1997	"9,951"	"16,075"	13	21	"4,475"	0.141	75.930
NOR	20	1998	"9,223"	"12,800"	13	22	"4,646"	0.133	77.640
NOR	20	1999	"9,709"	"15,566"	13	22	"4,852"	0.128	79.477
NOR	20	2000	"10,488"	"15,358"	13	21	"5,023"	0.114	81.929
NOR	20	2001	"10,146"	"12,125"	12	20	"5,118"	0.111	84.391
NOR	20	2002	"9,348"	"12,750"	12	19	"5,294"	0.125	85.476
NOR	20	2003	"11,289"	"14,550"	12	19	"5,557"	0.141	87.603
NOR	20	2004	"12,079"	"15,180"	12	20	"6,185"	0.148	88.001
NOR	20	2005	"13,573"	"15,844"	13	21	"6,663"	0.155	89.349
NOR	20	2006	"15,066"	"15,628"	13	21	"7,376"	0.156	91.431
NOR	20	2007	"17,889"	"16,574"	13	21	"7,673"	0.171	92.082
NOR	20	2008	"18,837"	"16,943"	12	20	"7,611"	0.177	95.539
NOR	20	2009	"15,553"	"17,157"	11	17	"7,048"	0.159	97.638
NOR	20	2010	"16,618"	"18,988"	11	18	"7,439"	0.165	100.000
NOR	20	2011	"14,883"	"19,459"	11	18	"7,689"	0.178	101.285
NOR	20	2012	"13,419"	"17,598"	11	17	"7,445"	0.172	101.991
NOR	20	2013	"14,722"	"18,142"	10	16	"7,992"	0.170	104.153
NOR	20	2014	"14,915"	"17,478"	10	16	"8,006"	0.159	106.280
NOR	20	2015	"19,103"	"19,103"	10	15	"8,106"	0.124	108.587
NOR	20	2016	"18,102"	"18,629"	10	16	"8,410"	0.119	112.442
NOR	20	2017	"19,985"	"19,124"	10	16	"8,614"	0.121	114.551
NOR	20	2018	"19,303"	"18,631"	10	16	"9,041"	0.123	117.718
NOR	21	1950						0.140	5.772
NOR	21	1951						0.140	6.752
NOR	21	1952						0.140	7.296
NOR	21	1953						0.140	7.514
NOR	21	1954						0.140	7.732
NOR	21	1955						0.140	7.841
NOR	21	1956						0.140	8.139
NOR	21	1957						0.140	8.373
NOR	21	1958						0.140	8.794
NOR	21	1959						0.140	8.995
NOR	21	1960						0.140	9.028
NOR	21	1961						0.140	9.222
NOR	21	1962						0.140	9.709
NOR	21	1963						0.140	9.949
NOR	21	1964						0.140	10.532
NOR	21	1965						0.140	10.973
NOR	21	1966						0.140	11.330
NOR	21	1967						0.140	11.849
NOR	21	1968						0.140	12.258
NOR	21	1969						0.140	12.621
NOR	21	1970	351	"2,871"	4	8	172	0.140	13.963
NOR	21	1971	365	"3,249"	4	8	195	0.142	14.832
NOR	21	1972	398	"3,200"	4	7	203	0.152	15.909
NOR	21	1973	615	"3,853"	4	7	234	0.173	17.089
NOR	21	1974	688	"3,576"	4	7	269	0.181	18.698
NOR	21	1975	736	"3,032"	4	7	347	0.191	20.883
NOR	21	1976	687	"3,031"	4	7	380	0.183	22.797
NOR	21	1977	741	"2,953"	4	7	451	0.188	24.872
NOR	21	1978	833	"3,021"	4	7	480	0.191	26.902
NOR	21	1979	"1,698"	"3,802"	4	7	495	0.197	28.115
NOR	21	1980	"1,053"	"3,675"	4	7	549	0.202	31.174
NOR	21	1981	901	"3,590"	4	7	614	0.174	35.427
NOR	21	1982	"1,008"	"3,776"	4	7	658	0.155	39.444
NOR	21	1983	"1,182"	"4,079"	4	7	702	0.137	42.783
NOR	21	1984	"1,643"	"5,185"	4	7	770	0.123	45.444
NOR	21	1985	"1,719"	"4,964"	4	7	843	0.116	48.041
NOR	21	1986	"1,569"	"4,406"	4	7	902	0.135	51.489
NOR	21	1987	"2,165"	"6,045"	4	7	"1,001"	0.148	55.977
NOR	21	1988	"2,363"	"5,712"	4	7	997	0.153	59.714
NOR	21	1989	"2,310"	"5,455"	4	7	"1,102"	0.145	62.429
NOR	21	1990	"2,425"	"6,120"	4	7	"1,144"	0.160	65.008
NOR	21	1991	"2,333"	"5,618"	4	6	"1,187"	0.154	67.243
NOR	21	1992	"2,275"	"5,677"	4	6	"1,224"	0.161	68.808
NOR	21	1993	"2,812"	"6,148"	4	6	"1,258"	0.141	70.383
NOR	21	1994	"3,058"	"6,145"	4	6	"1,301"	0.142	71.351
NOR	21	1995	"3,413"	"5,715"	4	7	"1,405"	0.158	73.107
NOR	21	1996	"3,670"	"6,248"	4	6	"1,398"	0.155	74.029
NOR	21	1997	"3,734"	"6,031"	4	6	"1,450"	0.141	75.930
NOR	21	1998	"3,460"	"4,803"	4	6	"1,506"	0.133	77.640
NOR	21	1999	"3,643"	"5,840"	4	6	"1,572"	0.128	79.477
NOR	21	2000	"3,935"	"5,762"	4	6	"1,628"	0.114	81.929
NOR	21	2001	"3,807"	"4,549"	4	6	"1,659"	0.111	84.391
NOR	21	2002	"3,507"	"4,784"	3	5	"1,716"	0.125	85.476
NOR	21	2003	"4,236"	"5,459"	4	6	"1,801"	0.141	87.603
NOR	21	2004	"4,532"	"5,695"	4	6	"2,005"	0.148	88.001
NOR	21	2005	"5,093"	"5,944"	4	6	"2,159"	0.155	89.349
NOR	21	2006	"5,653"	"5,863"	4	6	"2,391"	0.156	91.431
NOR	21	2007	"6,712"	"6,219"	4	6	"2,487"	0.171	92.082
NOR	21	2008	"7,068"	"6,357"	4	6	"2,467"	0.177	95.539
NOR	21	2009	"5,835"	"6,437"	3	5	"2,284"	0.159	97.638
NOR	21	2010	"6,235"	"7,124"	3	5	"2,411"	0.165	100.000
NOR	21	2011	"5,584"	"7,301"	3	5	"2,492"	0.178	101.285
NOR	21	2012	"5,035"	"6,603"	3	4	"2,413"	0.172	101.991
NOR	21	2013	"5,524"	"6,807"	3	5	"2,590"	0.170	104.153
NOR	21	2014	"5,596"	"6,558"	3	5	"2,595"	0.159	106.280
NOR	21	2015	"7,167"	"7,167"	2	4	"2,627"	0.124	108.587
NOR	21	2016	"6,792"	"6,989"	2	4	"2,726"	0.119	112.442
NOR	21	2017	"7,498"	"7,175"	3	4	"2,792"	0.121	114.551
NOR	21	2018	"7,243"	"6,990"	3	4	"2,930"	0.123	117.718
NOR	22-23	1950						0.140	5.772
NOR	22-23	1951						0.140	6.752
NOR	22-23	1952						0.140	7.296
NOR	22-23	1953						0.140	7.514
NOR	22-23	1954						0.140	7.732
NOR	22-23	1955						0.140	7.841
NOR	22-23	1956						0.140	8.139
NOR	22-23	1957						0.140	8.373
NOR	22-23	1958						0.140	8.794
NOR	22-23	1959						0.140	8.995
NOR	22-23	1960						0.140	9.028
NOR	22-23	1961						0.140	9.222
NOR	22-23	1962						0.140	9.709
NOR	22-23	1963						0.140	9.949
NOR	22-23	1964						0.140	10.532
NOR	22-23	1965						0.140	10.973
NOR	22-23	1966						0.140	11.330
NOR	22-23	1967						0.140	11.849
NOR	22-23	1968						0.140	12.258
NOR	22-23	1969						0.140	12.621
NOR	22-23	1970	"1,127"	"9,304"	24	42	779	0.140	13.963
NOR	22-23	1971	"1,315"	"10,080"	24	43	900	0.142	14.832
NOR	22-23	1972	"1,512"	"10,304"	26	44	"1,025"	0.152	15.909
NOR	22-23	1973	"1,594"	"10,167"	27	45	"1,198"	0.173	17.089
NOR	22-23	1974	"1,881"	"10,409"	26	44	"1,379"	0.181	18.698
NOR	22-23	1975	"2,115"	"10,310"	25	42	"1,540"	0.191	20.883
NOR	22-23	1976	"2,364"	"10,656"	25	42	"1,810"	0.183	22.797
NOR	22-23	1977	"2,559"	"10,291"	26	42	"2,041"	0.188	24.872
NOR	22-23	1978	"2,643"	"10,073"	25	39	"2,135"	0.191	26.902
NOR	22-23	1979	"2,816"	"10,214"	25	38	"2,156"	0.197	28.115
NOR	22-23	1980	"3,068"	"9,855"	23	37	"2,193"	0.202	31.174
NOR	22-23	1981	"3,277"	"9,640"	23	35	"2,338"	0.174	35.427
NOR	22-23	1982	"3,478"	"10,108"	21	34	"2,519"	0.155	39.444
NOR	22-23	1983	"3,806"	"10,331"	21	33	"2,699"	0.137	42.783
NOR	22-23	1984	"3,978"	"10,400"	21	32	"2,875"	0.123	45.444
NOR	22-23	1985	"4,405"	"10,672"	21	32	"3,113"	0.116	48.041
NOR	22-23	1986	"5,106"	"11,030"	21	33	"3,574"	0.135	51.489
NOR	22-23	1987	"5,489"	"11,116"	21	33	"3,935"	0.148	55.977
NOR	22-23	1988	"5,402"	"10,254"	21	32	"4,070"	0.153	59.714
NOR	22-23	1989	"5,060"	"9,502"	18	27	"3,725"	0.145	62.429
NOR	22-23	1990	"5,208"	"9,617"	17	26	"3,785"	0.160	65.008
NOR	22-23	1991	"5,083"	"8,911"	15	23	"3,606"	0.154	67.243
NOR	22-23	1992	"4,893"	"8,470"	15	22	"3,550"	0.161	68.808
NOR	22-23	1993	"4,958"	"8,329"	14	22	"3,561"	0.141	70.383
NOR	22-23	1994	"5,397"	"8,622"	14	23	"3,796"	0.142	71.351
NOR	22-23	1995	"5,884"	"9,157"	14	23	"4,106"	0.158	73.107
NOR	22-23	1996	"6,540"	"9,458"	16	25	"4,585"	0.155	74.029
NOR	22-23	1997	"7,098"	"9,830"	17	26	"5,008"	0.141	75.930
NOR	22-23	1998	"7,670"	"9,804"	17	27	"5,411"	0.133	77.640
NOR	22-23	1999	"7,769"	"9,548"	16	25	"5,442"	0.128	79.477
NOR	22-23	2000	"7,838"	"9,685"	15	24	"5,467"	0.114	81.929
NOR	22-23	2001	"7,694"	"8,939"	15	23	"5,553"	0.111	84.391
NOR	22-23	2002	"8,254"	"9,027"	14	22	"5,643"	0.125	85.476
NOR	22-23	2003	"8,429"	"9,488"	14	21	"5,588"	0.141	87.603
NOR	22-23	2004	"8,862"	"10,482"	14	21	"5,684"	0.148	88.001
NOR	22-23	2005	"10,089"	"11,556"	14	22	"6,178"	0.155	89.349
NOR	22-23	2006	"10,793"	"12,155"	15	23	"6,752"	0.156	91.431
NOR	22-23	2007	"12,041"	"12,609"	17	25	"7,592"	0.171	92.082
NOR	22-23	2008	"12,584"	"13,701"	17	26	"8,153"	0.177	95.539
NOR	22-23	2009	"10,813"	"10,441"	15	22	"7,512"	0.159	97.638
NOR	22-23	2010	"10,779"	"10,779"	14	22	"7,356"	0.165	100.000
NOR	22-23	2011	"11,839"	"12,478"	14	22	"7,785"	0.178	101.285
NOR	22-23	2012	"12,358"	"12,725"	14	22	"8,179"	0.172	101.991
NOR	22-23	2013	"12,590"	"13,161"	14	21	"8,338"	0.170	104.153
NOR	22-23	2014	"13,792"	"13,816"	14	21	"8,579"	0.159	106.280
NOR	22-23	2015	"13,552"	"13,448"	14	21	"8,754"	0.124	108.587
NOR	22-23	2016	"14,239"	"13,574"	15	22	"9,073"	0.119	112.442
NOR	22-23	2017	"14,956"	"14,641"	15	22	"9,550"	0.121	114.551
NOR	22-23	2018	"14,342"	"14,751"	15	22	"9,993"	0.123	117.718
NOR	22	1950						0.140	5.772
NOR	22	1951						0.140	6.752
NOR	22	1952						0.140	7.296
NOR	22	1953						0.140	7.514
NOR	22	1954						0.140	7.732
NOR	22	1955						0.140	7.841
NOR	22	1956						0.140	8.139
NOR	22	1957						0.140	8.373
NOR	22	1958						0.140	8.794
NOR	22	1959						0.140	8.995
NOR	22	1960						0.140	9.028
NOR	22	1961						0.140	9.222
NOR	22	1962						0.140	9.709
NOR	22	1963						0.140	9.949
NOR	22	1964						0.140	10.532
NOR	22	1965						0.140	10.973
NOR	22	1966						0.140	11.330
NOR	22	1967						0.140	11.849
NOR	22	1968						0.140	12.258
NOR	22	1969						0.140	12.621
NOR	22	1970	420	"4,054"	11	18	329	0.140	13.963
NOR	22	1971	490	"4,392"	11	18	380	0.142	14.832
NOR	22	1972	563	"4,489"	11	19	432	0.152	15.909
NOR	22	1973	594	"4,430"	12	19	505	0.173	17.089
NOR	22	1974	701	"4,535"	12	19	582	0.181	18.698
NOR	22	1975	788	"4,492"	11	18	650	0.191	20.883
NOR	22	1976	895	"5,055"	11	18	792	0.183	22.797
NOR	22	1977	971	"5,220"	11	18	885	0.188	24.872
NOR	22	1978	915	"4,660"	11	17	899	0.191	26.902
NOR	22	1979	982	"4,707"	10	16	878	0.197	28.115
NOR	22	1980	"1,136"	"4,745"	9	14	834	0.202	31.174
NOR	22	1981	"1,138"	"4,615"	9	14	891	0.174	35.427
NOR	22	1982	"1,193"	"4,915"	8	13	954	0.155	39.444
NOR	22	1983	"1,247"	"5,039"	8	12	"1,001"	0.137	42.783
NOR	22	1984	"1,397"	"5,140"	8	12	"1,086"	0.123	45.444
NOR	22	1985	"1,642"	"5,684"	8	12	"1,161"	0.116	48.041
NOR	22	1986	"1,887"	"5,591"	8	13	"1,340"	0.135	51.489
NOR	22	1987	"1,937"	"5,448"	8	13	"1,479"	0.148	55.977
NOR	22	1988	"1,919"	"4,757"	8	12	"1,513"	0.153	59.714
NOR	22	1989	"1,895"	"4,596"	7	11	"1,426"	0.145	62.429
NOR	22	1990	"1,985"	"4,664"	7	10	"1,441"	0.160	65.008
NOR	22	1991	"1,933"	"4,152"	6	10	"1,446"	0.154	67.243
NOR	22	1992	"2,006"	"4,360"	6	9	"1,379"	0.161	68.808
NOR	22	1993	"1,956"	"4,351"	6	9	"1,473"	0.141	70.383
NOR	22	1994	"2,090"	"4,525"	6	10	"1,552"	0.142	71.351
NOR	22	1995	"2,268"	"4,531"	6	10	"1,692"	0.158	73.107
NOR	22	1996	"2,538"	"4,731"	6	10	"1,830"	0.155	74.029
NOR	22	1997	"2,641"	"5,066"	7	11	"2,032"	0.141	75.930
NOR	22	1998	"2,815"	"5,074"	7	11	"2,145"	0.133	77.640
NOR	22	1999	"2,837"	"4,789"	6	10	"2,110"	0.128	79.477
NOR	22	2000	"2,697"	"4,466"	6	9	"2,156"	0.114	81.929
NOR	22	2001	"2,697"	"4,446"	6	9	"2,014"	0.111	84.391
NOR	22	2002	"2,690"	"4,099"	5	8	"2,006"	0.125	85.476
NOR	22	2003	"2,873"	"4,390"	5	8	"2,022"	0.141	87.603
NOR	22	2004	"2,790"	"4,410"	5	8	"1,989"	0.148	88.001
NOR	22	2005	"3,188"	"4,694"	5	8	"2,070"	0.155	89.349
NOR	22	2006	"3,316"	"4,812"	5	8	"2,212"	0.156	91.431
NOR	22	2007	"3,565"	"4,458"	6	9	"2,463"	0.171	92.082
NOR	22	2008	"3,720"	"5,210"	6	9	"2,680"	0.177	95.539
NOR	22	2009	"3,321"	"3,218"	5	8	"2,418"	0.159	97.638
NOR	22	2010	"3,371"	"3,371"	5	7	"2,312"	0.165	100.000
NOR	22	2011	"3,518"	"3,598"	5	7	"2,434"	0.178	101.285
NOR	22	2012	"3,702"	"3,614"	5	7	"2,558"	0.172	101.991
NOR	22	2013	"3,902"	"3,727"	5	7	"2,594"	0.170	104.153
NOR	22	2014	"4,132"	"3,881"	5	7	"2,686"	0.159	106.280
NOR	22	2015	"3,890"	"4,098"	5	7	"2,701"	0.124	108.587
NOR	22	2016	"4,187"	"4,496"	5	7	"2,763"	0.119	112.442
NOR	22	2017	"4,201"	"4,546"	5	7	"2,862"	0.121	114.551
NOR	22	2018	"4,029"	"4,580"	5	7	"2,995"	0.123	117.718
NOR	23	1950						0.140	5.772
NOR	23	1951						0.140	6.752
NOR	23	1952						0.140	7.296
NOR	23	1953						0.140	7.514
NOR	23	1954						0.140	7.732
NOR	23	1955						0.140	7.841
NOR	23	1956						0.140	8.139
NOR	23	1957						0.140	8.373
NOR	23	1958						0.140	8.794
NOR	23	1959						0.140	8.995
NOR	23	1960						0.140	9.028
NOR	23	1961						0.140	9.222
NOR	23	1962						0.140	9.709
NOR	23	1963						0.140	9.949
NOR	23	1964						0.140	10.532
NOR	23	1965						0.140	10.973
NOR	23	1966						0.140	11.330
NOR	23	1967						0.140	11.849
NOR	23	1968						0.140	12.258
NOR	23	1969						0.140	12.621
NOR	23	1970	707	"5,825"	13	24	450	0.140	13.963
NOR	23	1971	825	"6,311"	14	24	520	0.142	14.832
NOR	23	1972	949	"6,450"	14	25	592	0.152	15.909
NOR	23	1973	"1,000"	"6,365"	15	26	693	0.173	17.089
NOR	23	1974	"1,180"	"6,516"	15	25	798	0.181	18.698
NOR	23	1975	"1,327"	"6,454"	14	24	890	0.191	20.883
NOR	23	1976	"1,469"	"6,318"	14	23	"1,018"	0.183	22.797
NOR	23	1977	"1,588"	"5,845"	15	24	"1,156"	0.188	24.872
NOR	23	1978	"1,728"	"6,029"	14	23	"1,236"	0.191	26.902
NOR	23	1979	"1,834"	"6,127"	15	23	"1,278"	0.197	28.115
NOR	23	1980	"1,932"	"5,769"	14	23	"1,359"	0.202	31.174
NOR	23	1981	"2,139"	"5,662"	14	21	"1,448"	0.174	35.427
NOR	23	1982	"2,285"	"5,887"	13	21	"1,565"	0.155	39.444
NOR	23	1983	"2,559"	"6,007"	13	20	"1,699"	0.137	42.783
NOR	23	1984	"2,581"	"6,007"	13	20	"1,789"	0.123	45.444
NOR	23	1985	"2,763"	"5,905"	13	20	"1,952"	0.116	48.041
NOR	23	1986	"3,219"	"6,280"	13	20	"2,234"	0.135	51.489
NOR	23	1987	"3,552"	"6,451"	13	20	"2,455"	0.148	55.977
NOR	23	1988	"3,483"	"6,124"	13	20	"2,557"	0.153	59.714
NOR	23	1989	"3,165"	"5,542"	11	17	"2,299"	0.145	62.429
NOR	23	1990	"3,223"	"5,600"	10	16	"2,344"	0.160	65.008
NOR	23	1991	"3,150"	"5,315"	9	14	"2,160"	0.154	67.243
NOR	23	1992	"2,887"	"4,726"	9	13	"2,170"	0.161	68.808
NOR	23	1993	"3,002"	"4,600"	8	13	"2,088"	0.141	70.383
NOR	23	1994	"3,307"	"4,748"	8	13	"2,244"	0.142	71.351
NOR	23	1995	"3,616"	"5,223"	8	13	"2,414"	0.158	73.107
NOR	23	1996	"4,002"	"5,360"	10	15	"2,754"	0.155	74.029
NOR	23	1997	"4,457"	"5,463"	10	15	"2,976"	0.141	75.930
NOR	23	1998	"4,855"	"5,435"	10	16	"3,266"	0.133	77.640
NOR	23	1999	"4,932"	"5,387"	10	15	"3,332"	0.128	79.477
NOR	23	2000	"5,141"	"5,720"	9	15	"3,311"	0.114	81.929
NOR	23	2001	"4,997"	"5,060"	9	15	"3,539"	0.111	84.391
NOR	23	2002	"5,564"	"5,349"	9	14	"3,637"	0.125	85.476
NOR	23	2003	"5,556"	"5,572"	9	13	"3,566"	0.141	87.603
NOR	23	2004	"6,072"	"6,444"	9	13	"3,695"	0.148	88.001
NOR	23	2005	"6,901"	"7,217"	9	14	"4,108"	0.155	89.349
NOR	23	2006	"7,477"	"7,680"	10	15	"4,540"	0.156	91.431
NOR	23	2007	"8,476"	"8,344"	11	17	"5,129"	0.171	92.082
NOR	23	2008	"8,864"	"8,779"	11	17	"5,473"	0.177	95.539
NOR	23	2009	"7,492"	"7,222"	10	15	"5,095"	0.159	97.638
NOR	23	2010	"7,408"	"7,408"	9	14	"5,044"	0.165	100.000
NOR	23	2011	"8,321"	"8,879"	9	15	"5,350"	0.178	101.285
NOR	23	2012	"8,656"	"9,112"	9	15	"5,621"	0.172	101.991
NOR	23	2013	"8,688"	"9,436"	9	14	"5,744"	0.170	104.153
NOR	23	2014	"9,660"	"9,943"	9	14	"5,893"	0.159	106.280
NOR	23	2015	"9,662"	"9,327"	9	14	"6,053"	0.124	108.587
NOR	23	2016	"10,052"	"9,084"	10	15	"6,310"	0.119	112.442
NOR	23	2017	"10,755"	"10,054"	10	15	"6,687"	0.121	114.551
NOR	23	2018	"10,313"	"10,130"	10	15	"6,998"	0.123	117.718
NOR	24-25	1950						0.140	5.772
NOR	24-25	1951						0.140	6.752
NOR	24-25	1952						0.140	7.296
NOR	24-25	1953						0.140	7.514
NOR	24-25	1954						0.140	7.732
NOR	24-25	1955						0.140	7.841
NOR	24-25	1956						0.140	8.139
NOR	24-25	1957						0.140	8.373
NOR	24-25	1958						0.140	8.794
NOR	24-25	1959						0.140	8.995
NOR	24-25	1960						0.140	9.028
NOR	24-25	1961						0.140	9.222
NOR	24-25	1962						0.140	9.709
NOR	24-25	1963						0.140	9.949
NOR	24-25	1964						0.140	10.532
NOR	24-25	1965						0.140	10.973
NOR	24-25	1966						0.140	11.330
NOR	24-25	1967						0.140	11.849
NOR	24-25	1968						0.140	12.258
NOR	24-25	1969						0.140	12.621
NOR	24-25	1970	"2,613"	"20,890"	47	84	"1,682"	0.140	13.963
NOR	24-25	1971	"2,628"	"22,374"	48	85	"1,953"	0.142	14.832
NOR	24-25	1972	"2,817"	"24,024"	48	84	"2,155"	0.152	15.909
NOR	24-25	1973	"3,482"	"26,371"	48	84	"2,417"	0.173	17.089
NOR	24-25	1974	"4,654"	"27,363"	50	86	"2,895"	0.181	18.698
NOR	24-25	1975	"4,785"	"26,547"	50	86	"3,464"	0.191	20.883
NOR	24-25	1976	"4,815"	"26,032"	50	83	"3,866"	0.183	22.797
NOR	24-25	1977	"5,032"	"24,831"	49	81	"4,200"	0.188	24.872
NOR	24-25	1978	"5,291"	"24,229"	46	74	"4,220"	0.191	26.902
NOR	24-25	1979	"6,794"	"26,061"	46	75	"4,397"	0.197	28.115
NOR	24-25	1980	"7,552"	"24,918"	47	76	"4,977"	0.202	31.174
NOR	24-25	1981	"6,963"	"25,449"	48	77	"5,544"	0.174	35.427
NOR	24-25	1982	"6,671"	"24,331"	45	72	"5,690"	0.155	39.444
NOR	24-25	1983	"8,528"	"26,103"	41	66	"5,679"	0.137	42.783
NOR	24-25	1984	"10,890"	"27,202"	41	67	"6,279"	0.123	45.444
NOR	24-25	1985	"10,453"	"27,999"	42	68	"6,981"	0.116	48.041
NOR	24-25	1986	"10,439"	"28,521"	43	69	"7,698"	0.135	51.489
NOR	24-25	1987	"11,188"	"28,431"	44	68	"8,433"	0.148	55.977
NOR	24-25	1988	"15,183"	"29,763"	43	66	"8,799"	0.153	59.714
NOR	24-25	1989	"15,372"	"28,442"	37	59	"8,266"	0.145	62.429
NOR	24-25	1990	"11,596"	"27,619"	35	56	"8,357"	0.160	65.008
NOR	24-25	1991	"11,006"	"27,890"	34	54	"8,511"	0.154	67.243
NOR	24-25	1992	"10,724"	"28,308"	33	52	"8,477"	0.161	68.808
NOR	24-25	1993	"11,583"	"26,268"	32	52	"8,657"	0.141	70.383
NOR	24-25	1994	"13,090"	"27,388"	34	54	"9,197"	0.142	71.351
NOR	24-25	1995	"15,942"	"21,657"	35	55	"9,746"	0.158	73.107
NOR	24-25	1996	"15,371"	"24,263"	35	56	"10,300"	0.155	74.029
NOR	24-25	1997	"16,314"	"25,852"	36	57	"11,005"	0.141	75.930
NOR	24-25	1998	"18,719"	"26,313"	38	59	"12,051"	0.133	77.640
NOR	24-25	1999	"19,323"	"25,762"	35	57	"12,125"	0.128	79.477
NOR	24-25	2000	"22,098"	"26,702"	35	55	"12,424"	0.114	81.929
NOR	24-25	2001	"21,710"	"28,184"	33	54	"12,831"	0.111	84.391
NOR	24-25	2002	"20,020"	"27,062"	33	50	"13,121"	0.125	85.476
NOR	24-25	2003	"20,558"	"28,671"	33	50	"13,342"	0.141	87.603
NOR	24-25	2004	"23,589"	"31,570"	31	50	"14,031"	0.148	88.001
NOR	24-25	2005	"24,503"	"32,614"	31	51	"14,418"	0.155	89.349
NOR	24-25	2006	"29,043"	"28,365"	34	56	"16,750"	0.156	91.431
NOR	24-25	2007	"30,993"	"29,289"	35	59	"18,156"	0.171	92.082
NOR	24-25	2008	"33,174"	"31,351"	37	61	"19,820"	0.177	95.539
NOR	24-25	2009	"22,666"	"25,715"	35	56	"19,176"	0.159	97.638
NOR	24-25	2010	"25,836"	"25,836"	33	53	"18,106"	0.165	100.000
NOR	24-25	2011	"27,244"	"25,801"	34	53	"19,128"	0.178	101.285
NOR	24-25	2012	"28,842"	"26,055"	34	53	"20,337"	0.172	101.991
NOR	24-25	2013	"27,329"	"25,402"	34	53	"21,005"	0.170	104.153
NOR	24-25	2014	"30,145"	"27,179"	34	53	"21,766"	0.159	106.280
NOR	24-25	2015	"29,956"	"24,859"	33	52	"21,813"	0.124	108.587
NOR	24-25	2016	"27,536"	"23,310"	32	50	"21,623"	0.119	112.442
NOR	24-25	2017	"30,824"	"24,074"	31	48	"21,637"	0.121	114.551
NOR	24-25	2018	"31,186"	"22,886"	31	48	"22,487"	0.123	117.718
NOR	24	1950						0.140	5.772
NOR	24	1951						0.140	6.752
NOR	24	1952						0.140	7.296
NOR	24	1953						0.140	7.514
NOR	24	1954						0.140	7.732
NOR	24	1955						0.140	7.841
NOR	24	1956						0.140	8.139
NOR	24	1957						0.140	8.373
NOR	24	1958						0.140	8.794
NOR	24	1959						0.140	8.995
NOR	24	1960						0.140	9.028
NOR	24	1961						0.140	9.222
NOR	24	1962						0.140	9.709
NOR	24	1963						0.140	9.949
NOR	24	1964						0.140	10.532
NOR	24	1965						0.140	10.973
NOR	24	1966						0.140	11.330
NOR	24	1967						0.140	11.849
NOR	24	1968						0.140	12.258
NOR	24	1969						0.140	12.621
NOR	24	1970	"1,575"	"10,949"	23	41	818	0.140	13.963
NOR	24	1971	"1,448"	"11,282"	24	41	962	0.142	14.832
NOR	24	1972	"1,512"	"12,326"	24	42	"1,069"	0.152	15.909
